Schema,Tabla,Frecuencia,Num Documentos
this,getLevelDistribution,1,1
this,getModuleCompletion,1,1
teacherAnalyticsApi,getDashboard,1,1
this,calculateClassMetrics,1,1
analyticsService,getClassroomDashboard,1,1
ClassroomDashboard,tsx,1,1
public,comodin_type,1,1
auth_management,password_resets,1,1
GUIDE,md,1,1
PascalCase,md,1,1
GamificationService,awardMLCoins,1,1
SubmissionService,submitExercise,1,1
ScoreService,calculateScore,1,1
ClassroomsService,findAll,1,1
auth_management,security_logs,1,1
ModulesService,findAll,1,1
AuthService,getCurrentUser,1,1
OrganizationsService,findOne,1,1
ClassroomsService,delete,1,1
RanksService,promoteRank,1,1
SystemService,getHealth,1,1
AttemptsService,findAll,1,1
SubmissionsRepository,save,1,1
MLCoinsService,awardCoins,1,1
RanksService,checkPromotion,1,1
FriendshipsService,acceptRequest,1,1
GamificationService,initializeUser,1,1
RanksService,getRankProgress,1,1
ProgressService,getModuleProgress,1,1
AttemptsService,findOne,1,1
TeacherService,getClassrooms,1,1
LeaderboardService,getByClassroom,1,1
AnalyticsService,getOverview,1,1
TeamsService,findOne,1,1
FriendshipsService,findAll,1,1
ExercisesService,create,1,1
PasswordService,changePassword,1,1
TeacherService,getStudentProgress,1,1
SubmissionsService,findAll,1,1
TeamsService,findAll,1,1
auth_management,refresh_tokens,1,1
SchoolsService,delete,1,1
SessionService,getUserSessions,1,1
ModulesService,delete,1,1
ValidationService,validateAnswer,1,1
ModulesService,findOne,1,1
ModulesService,create,1,1
MLCoinsService,deductCoins,1,1
ExercisesService,submitAnswer,1,1
MLCoinsService,getBalance,1,1
UsersService,findOne,1,1
UsersService,findAll,1,1
MembersService,findAll,1,1
ModulesService,getLessons,1,1
AchievementsService,getAll,1,1
SchoolsService,findOne,1,1
AchievementsService,getProgress,1,1
ExercisesService,validateAnswer,1,1
SchoolsService,create,1,1
LeaderboardService,getFriends,1,1
ExercisesService,findAll,1,1
SubmissionsService,submitExercise,1,1
AuthService,logout,1,1
ExercisesService,findOne,1,1
RanksService,getUserRank,1,1
FriendshipsService,sendRequest,1,1
AuthService,refreshToken,1,1
SchoolsService,findAll,1,1
ProgressService,getAllModules,1,1
ClassroomsService,findOne,1,1
ClassroomsService,update,1,1
SchoolsService,update,1,1
MLCoinsService,purchaseItem,1,1
gamification_system,ml_coins_wallets,1,1
ProgressService,updateProgress,1,1
AchievementsService,checkProgress,1,1
AchievementsService,getUserAchievements,1,1
AuthService,register,1,1
auth_management,sessions,1,1
PasswordService,resetPassword,1,1
AchievementsService,unlockAchievement,1,1
TeamsService,create,1,1
SessionService,revokeSession,1,1
SystemService,getStats,1,1
AttemptsService,recordAttempt,1,1
NotificationsService,send,1,1
UsersService,suspend,1,1
MLCoinsService,getTransactionHistory,1,1
NotificationsService,sendNotification,1,1
OrganizationsService,findAll,1,1
LeaderboardService,getUserPosition,1,1
ExercisesService,update,1,1
TeamMembersService,addMember,1,1
AchievementsService,getRecent,1,1
AttemptsService,getExerciseAttempts,1,1
RanksService,getAllRanks,1,1
MembersService,addMember,1,1
SubmissionsService,findOne,1,1
SessionService,revokeAllSessions,1,1
LeaderboardService,getGlobal,1,1
MembersService,removeMember,1,1
ExercisesService,getHints,1,1
SessionService,create,1,1
ModulesService,update,1,1
auth_management,password_reset_tokens,1,1
RanksService,getRankRequirements,1,1
ScoringService,calculateScore,1,1
MLCoinsService,getTransactions,1,1
ClassroomsService,create,1,1
PasswordService,forgotPassword,1,1
GradingService,getPending,1,1
BACKEND,md,1,1
HANDLING,md,1,1
MANAGEMENT,md,1,1
INTEGRATION,md,1,1
UI,md,1,1
CONVENTIONS,md,1,1
_MAP,md,1,1
SHARED,md,1,1
DESARROLLO,md,1,1
FRONTEND,md,1,1
MODULOS,md,1,1
FEATURES,md,1,1
user_stats,level,1,1
educational_content,get_recommended_missions,1,1
progress_tracking,grant_mission_completion_rewards,1,1
educational_content,calculate_learning_path,1,1
comodines_inventory,sql,1,1
gamification_system,calculate_study_streaks,1,1
gamification_system,reset_inactive_streaks,1,1
process_exercise_completion,sql,1,1
gamification_system,recalculate_level_on_xp_change,1,1
us,level,1,1
gamification_system,mv_global_leaderboard,1,1
config,ts,1,1
loginSchema,validate,1,1
not,toHaveBeenCalled,1,1
config,js,1,1
vi,fn,1,1
vi,mocked,1,1
vi,mock,1,1
user,click,1,1
userEvent,setup,1,1
authStore,login,1,1
client,get,1,1
screen,getByText,1,1
vi,clearAllMocks,1,1
repo,findById,1,1
path,resolve,1,1
pool,end,1,1
screen,getByRole,1,1
findByEmail,mockResolvedValue,1,1
screen,getByPlaceholderText,1,1
useAuthStore,setState,1,1
vi,importActual,1,1
jest,mock,1,1
